minimum_bytes,average_bytes,maximum_bytes,normalization,input_bytes,seed,complete_chunks,complete_bytes,final_tail_bytes,observed_mean_bytes,analytical_mean_bytes,analytical_model,lower_inclusive,upper_exclusive,observed_count,observed_probability,analytical_probability
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,16384,20480,115,0.0075942679786,0.00778206913237
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,20480,24576,108,0.0071320081886,0.00772150853238
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,24576,28672,104,0.00686785973717,0.00766141921918
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,28672,32768,120,0.00792445354289,0.00760179752516
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,32768,36864,115,0.0075942679786,0.00754263981129
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,36864,40960,111,0.00733011952717,0.00748394246684
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,40960,45056,120,0.00792445354289,0.00742570190918
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,45056,49152,103,0.00680182262431,0.00736791458357
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,49152,53248,112,0.00739615664003,0.00731057696292
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,53248,57344,112,0.00739615664003,0.00725368554759
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,57344,61440,84,0.00554711748002,0.0071972368652
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,61440,65536,129,0.00851878755861,0.00714122747035
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,65536,69632,5399,0.356534372317,0.358274733706
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,69632,73728,3340,0.220563956944,0.217297978544
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,73728,77824,1909,0.126064848445,0.131793863862
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,77824,81920,1210,0.0799049065575,0.0799345795491
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,81920,86016,782,0.0516410222545,0.0484812935931
16384,65536,262144,3,1073741824,1,15143,1073681930,59894,70902.8547844,70760.2865461,independent-uniform-hash,86016,90112,467,0.0308393317044,0.0294044935461
