algorithm,minimum_bytes,average_bytes,maximum_bytes,normalization,identity_digest,identity_includes_size,identity_byte_compared,oracle_max_file_bytes,snapshot_index,snapshot,files,logical_bytes,chunks,earlier_snapshot_chunk_reuse_bytes,new_unique_chunk_bytes,earlier_snapshot_exact_file_reuse_bytes,new_unique_exact_file_bytes,unchanged_same_path_files,unchanged_same_path_bytes,changed_same_path_files,changed_same_path_bytes,new_path_files,new_path_bytes,adjacent_same_path_cdc_reuse_bytes,changed_same_path_cdc_reuse_bytes,oracle_eligible_changed_same_path_target_bytes,oracle_actual_cdc_reuse_bytes,target_partition_oracle_reuse_bytes,source_boundary_loss_bytes,oracle_skipped_files,oracle_skipped_bytes,all_snapshots_files,all_snapshots_logical_bytes,all_snapshots_chunks,unique_chunk_bytes,unique_exact_file_bytes
FastCDC 2020,2048,8192,32768,1,SHA-256,true,false,1048576,0,git:028ef9c96e96197026887c0f092424679298aae8,92939,1568394719,206575,0,1424656497,0,1565005833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186549,3153826353,415026,1615929145,1915180524
FastCDC 2020,2048,8192,32768,1,SHA-256,true,false,1048576,1,git:8cd9520d35a6c38db6567e97dd93b1f11f185dc6,93610,1585431634,208451,1393943614,191272648,1235128258,350174691,80672,1234907121,11689,331867579,1249,18656934,1390727526,155820405,327263151,151535448,154323457,2788009,3,4604428,186549,3153826353,415026,1615929145,1915180524
